Name,Weight,Id,Details,Price,Price per Kg,Promotion Discount,Promotion End Date,Image Url
Mandorle Sgusciate,50 g,https://www.spesaonline.unes.it/p/47204,"1 conf 50g | 19,80 €/kg","0,99","19,80",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/47204/5EB7F455-11EC-4273-9C65-AE95641347C4_1_MEDIUM.Jpg
Noci Sgusciate,40 g,https://www.spesaonline.unes.it/p/47203,"1 conf 40g | 24,75 €/kg","0,99","24,75",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/47203/DA5963D0-D40C-4BB6-87C1-4C14AD9B87BF_1_MEDIUM.Jpg
Rice Crackers al Chili,60 g,https://www.spesaonline.unes.it/p/42067,"1 conf 60g | 16,50 €/kg","0,99","16,50",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/42067/4B7AB7FD-82B6-432D-97B2-A358BA5DD529_1_MEDIUM.Jpg
Mais Tostato Gigante Piccante,80 g,https://www.spesaonline.unes.it/p/42066,"1 conf 80g | 12,37 €/kg","0,99","12,37",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/42066/D2549149-BA55-4D58-ABD4-541BF91D5130_1_MEDIUM.Jpg
Semi Zucca Salati e Tostati,80 g,https://www.spesaonline.unes.it/p/35385,"1 conf 80g | 12,37 €/kg","0,99","12,37",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/35385/79F0CCD8-2548-4DEF-876E-75270BF3DB60_1_MEDIUM.Jpg
Pistacchi Tostati e Salati,40 g,https://www.spesaonline.unes.it/p/35383,"1 conf 40g | 24,75 €/kg","0,99","24,75",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/35383/1D903E4C-2706-4034-9F28-4A9A7FB1DF0D_1_MEDIUM.Jpg
Arachidi Fritte e Salate,150 g,https://www.spesaonline.unes.it/p/35380,"1 conf 150g | 6,60 €/kg","0,99","6,60",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/35380/0CE88BD0-05D5-4AE2-94B0-69CA7D2F43BC_1_MEDIUM.Jpg
Anacardi Tostati e Salati,40 g,https://www.spesaonline.unes.it/p/35378,"1 conf 40g | 24,75 €/kg","0,99","24,75",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/35378/2E493149-3580-4989-AABA-671ABF618B5B_1_MEDIUM.Jpg
Misto Piccante Salato,100 g,https://www.spesaonline.unes.it/p/35375,"1 conf 100g | 9,90 €/kg","0,99","9,90",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/35375/69D72F5E-9FA7-4267-BE79-03148F3548D5_1_MEDIUM.Jpg
Misto Salato,100 g,https://www.spesaonline.unes.it/p/35356,"1 conf 100g | 9,90 €/kg","0,99","9,90",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/35356/B63556C0-3820-40CA-97F1-B8F6F80E6158_1_MEDIUM.Jpg
Arachidi Dorate Salate,250 g,https://www.spesaonline.unes.it/p/14666,"1 conf 250g | 5,16 €/kg","1,29","5,16",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/14666/D1404A13-2A3F-4CA9-8791-185362AB558E_1_MEDIUM.Jpg
Albicocche Denocciolate Essiccate,200 g,https://www.spesaonline.unes.it/p/35502,"1 conf 200g | 14,95 €/kg","2,99","14,95",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/35502/B2F344C8-67C3-4F6C-89BF-F32CC2D151D7_1_MEDIUM.Jpg
Prunge Denocciolate Essiccate,200 g,https://www.spesaonline.unes.it/p/34694,"1 conf 200g | 13,45 €/kg","2,69","13,45",,,https://unesretailprod.blob.core.windows.net/retail/FRESCHI/ORTOFRUTTA/34694/7FB53C5A-30AF-4259-B491-7CF434E29E11_1_MEDIUM.Jpg
Pane a Fette 8 Cereali e Soia U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/738003,"1 conf 400g | 2,72 €/kg","1,09","2,72",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/738003/A62C9C60-B0D6-4787-B6F9-9BC33E888210_1_MEDIUM.Jpg
