Name,Address,Withdrawal,Hours
VIMODRONE,"via Pio La Torre snc, Vimodrone, 20055 8,1 KM",5 dicembre,"Lun : 07:30 - 21:30, Mar : 07:30 - 21:30, Mer : 07:30 - 21:30, Gio : 07:30 - 21:30, Ven : 07:30 - 21:30, Sab : 07:30 - 21:30, Dom : 08:00 - 21:00"
PADERNO 2,"via Gen. Dalla Chiesa 48, Paderno Dugnano, 20037 10,4 KM",5 dicembre,"Lun : 07:30 - 21:00, Mar : 07:30 - 21:00, Mer : 07:30 - 21:00, Gio : 07:30 - 21:00, Ven : 07:30 - 21:00, Sab : 07:30 - 21:00, Dom : 08:00 - 21:00"
OPERA,"via Diaz snc, ang.via Trebbia, Opera, 20090 11,8 KM",5 dicembre,"Lun : 08:00 - 21:00, Mar : 08:00 - 21:00, Mer : 08:00 - 21:00, Gio : 07:30 - 22:00, Ven : 08:00 - 21:00, Sab : 08:00 - 21:00, Dom : 08:00 - 21:00"
RHO,"via volta ang nino bixio, rho, 20017 13,4 KM",5 dicembre,"Lun : 08:00 - 20:30, Mar : 08:00 - 20:30, Mer : 08:00 - 20:30, Gio : 08:00 - 20:30, Ven : 08:00 - 20:30, Sab : 08:00 - 20:30, Dom : 08:00 - 20:30"
GAGGIANO,"Via Marco Polo Lungo il Naviglio, Gaggiano, 20063 13,5 KM",5 dicembre,"Lun : 08:00 - 20:30, Mar : 08:00 - 20:30, Mer : 08:00 - 20:30, Gio : 08:00 - 20:30, Ven : 08:00 - 20:30, Sab : 08:00 - 20:30, Dom : 08:00 - 20:00"
LISSONE 2,"via Valassina 214, Lissone, 20851 14,9 KM",5 dicembre,"Lun : 07:30 - 21:00, Mar : 07:30 - 21:00, Mer : 07:30 - 21:00, Gio : 07:30 - 21:00, Ven : 07:30 - 21:00, Sab : 07:30 - 21:00, Dom : 08:00 - 21:00"
ZELO BUON PERSICO,"via Cavour, Zelo Buon Persico, 26839 19,4 KM",5 dicembre,"Lun : 08:00 - 21:30, Mar : 08:00 - 21:30, Mer : 08:00 - 21:30, Gio : 08:00 - 21:30, Ven : 08:00 - 21:30, Sab : 08:00 - 21:30, Dom : 08:00 - 22:00"
ROVELLO PORRO,"via Pagani ang.via Como, Rovello Porro, 22070 22,4 KM",5 dicembre,"Lun : 07:30 - 22:00, Mar : 07:30 - 22:00, Mer : 07:30 - 22:00, Gio : 07:30 - 22:00, Ven : 07:30 - 22:00, Sab : 07:30 - 22:00, Dom : 08:00 - 22:00"
AROSIO,"Via Don Sirtori, 2, Arosio, 22060 27,4 KM",5 dicembre,"Lun : 07:30 - 21:00, Mar : 07:30 - 21:00, Mer : 07:30 - 21:00, Gio : 07:30 - 21:00, Ven : 07:30 - 21:00, Sab : 07:30 - 21:00, Dom : 08:00 - 21:00"
TREVIGLIO ORTIGARA,"v le ortigara 1, treviglio, 24047 31,4 KM",5 dicembre,"Lun : 07:30 - 20:30, Mar : 07:30 - 20:30, Mer : 07:30 - 20:30, Gio : 07:30 - 20:30, Ven : 07:30 - 20:30, Sab : 07:30 - 20:30, Dom : 08:00 - 20:00"
BUSTO SEMPIONE,"Corso Sempione, 194, Busto Arsizio, 21052 33,3 KM",5 dicembre,"Lun : 07:30 - 20:30, Mar : 07:30 - 20:30, Mer : 07:30 - 20:30, Gio : 07:30 - 20:30, Ven : 07:30 - 20:30, Sab : 07:30 - 20:30, Dom : 08:00 - 20:00"
NOVARA 23 MARZO,"corso 23 marzo, 230, Novara, 28100 43,7 KM",5 dicembre,"Lun : 08:00 - 20:30, Mar : 08:00 - 20:30, Mer : 08:00 - 20:30, Gio : 08:00 - 20:30, Ven : 08:00 - 20:30, Sab : 08:00 - 20:30, Dom : 08:30 - 20:00"
MARCHIROLO,"Via Statale 29, Marchirolo, 21030 59,5 KM",5 dicembre,"Lun : 08:00 - 20:00, Mar : 08:00 - 20:00, Mer : 08:00 - 20:00, Gio : 08:00 - 20:00, Ven : 08:00 - 20:00, Sab : 08:00 - 20:00, Dom : 08:00 - 20:00"
TALAMONA,"via Stelvio 2B, Talamona, 23018 80,5 KM",5 dicembre,"Lun : 08:00 - 20:30, Mar : 08:00 - 20:30, Mer : 08:00 - 20:30, Gio : 08:00 - 20:30, Ven : 08:00 - 20:30, Sab : 08:00 - 20:30, Dom : 08:00 - 20:00"
TORINO PACCHIOTTI,"via Pacchiotti, 49 g, Torino, 10146 130,1 KM",5 dicembre,"Lun : 08:00 - 21:30, Mar : 08:00 - 21:30, Mer : 08:00 - 21:30, Gio : 08:00 - 21:30, Ven : 08:00 - 21:30, Sab : 08:00 - 21:30, Dom : 08:00 - 21:00"
